# Sorted by appearances in unique dailies
# First section: still direct winrate
# Second section: win multiplier (wins per unique appearance) [line #392]

nanthelas's winrate: 30.77% (4 wins/13 games, 1 appearances)
Freeboy/steam's winrate: 23.08% (3 wins/13 games, 1 appearances)
Sportle/steam's winrate: 15.38% (2 wins/13 games, 1 appearances)
Mat Pollo/steam's winrate: 15.38% (2 wins/13 games, 1 appearances)
bitch lasagna/steam's winrate: 7.69% (1 wins/13 games, 1 appearances)
40 Hands/steam's winrate: 7.69% (1 wins/13 games, 1 appearances)
intuition's winrate: 66.67% (8 wins/12 games, 1 appearances)
JeFferman9/steam's winrate: 58.33% (7 wins/12 games, 1 appearances)
walliard's winrate: 50.0% (6 wins/12 games, 1 appearances)
bluspacecrab's winrate: 50.0% (6 wins/12 games, 1 appearances)
pianoman's winrate: 41.67% (5 wins/12 games, 1 appearances)
matixter's winrate: 41.67% (5 wins/12 games, 1 appearances)
ShotKilerGamer/steam's winrate: 41.67% (5 wins/12 games, 1 appearances)
Sauerkraut/steam's winrate: 41.67% (5 wins/12 games, 1 appearances)
Casualbarbarian/steam's winrate: 41.67% (5 wins/12 games, 1 appearances)
The Narrator/steam's winrate: 33.33% (4 wins/12 games, 1 appearances)
NZBot/steam's winrate: 33.33% (4 wins/12 games, 1 appearances)
7kg Vented Tumble Dryer/steam's winrate: 33.33% (4 wins/12 games, 1 appearances)
tastyt0ast's winrate: 25.0% (3 wins/12 games, 1 appearances)
Eulenax/steam's winrate: 16.67% (2 wins/12 games, 1 appearances)
Taclis/steam's winrate: 8.33% (1 wins/12 games, 1 appearances)
Salt. (Ren)/steam's winrate: 8.33% (1 wins/12 games, 1 appearances)
Pappy {JL'AI VU/steam's winrate: 45.45% (5 wins/11 games, 1 appearances)
oriramikad's winrate: 36.36% (4 wins/11 games, 1 appearances)
ishkabibble's winrate: 36.36% (4 wins/11 games, 1 appearances)
dagon's winrate: 36.36% (4 wins/11 games, 1 appearances)
basiQ/steam's winrate: 36.36% (4 wins/11 games, 1 appearances)
bananaconda's winrate: 36.36% (4 wins/11 games, 1 appearances)
LatentVariable/steam's winrate: 36.36% (4 wins/11 games, 1 appearances)
thederpguru/steam's winrate: 27.27% (3 wins/11 games, 1 appearances)
phoKus/steam's winrate: 27.27% (3 wins/11 games, 1 appearances)
Kropotkin/steam's winrate: 27.27% (3 wins/11 games, 1 appearances)
JosephJJMOJO/steam's winrate: 27.27% (3 wins/11 games, 1 appearances)
DarkStormâ„¢/steam's winrate: 27.27% (3 wins/11 games, 1 appearances)
BOT Martha\|Csgoroll.com/steam's winrate: 27.27% (3 wins/11 games, 1 appearances)
ÐºÐ°Ñ‚ÑÑ€Ð°/steam's winrate: 18.18% (2 wins/11 games, 1 appearances)
luizftommo's winrate: 18.18% (2 wins/11 games, 1 appearances)
javeroth's winrate: 18.18% (2 wins/11 games, 1 appearances)
Water Man/steam's winrate: 18.18% (2 wins/11 games, 1 appearances)
Silverthorn/steam's winrate: 18.18% (2 wins/11 games, 1 appearances)
Dad/steam's winrate: 18.18% (2 wins/11 games, 1 appearances)
sbelkhos04/steam's winrate: 0.0% (0 wins/11 games, 1 appearances)
[\_Ð§ÑƒÐŸÐ°Ð§ÑƒÐŸÑ\_] #MAGICRUST/steam's winrate: 0.0% (0 wins/11 games, 1 appearances)
An celery/steam's winrate: 0.0% (0 wins/11 games, 1 appearances)
legat/steam's winrate: 80.0% (8 wins/10 games, 1 appearances)
Phantaxein/steam's winrate: 60.0% (6 wins/10 games, 1 appearances)
swedd's winrate: 50.0% (5 wins/10 games, 1 appearances)
jaHNI/steam's winrate: 50.0% (5 wins/10 games, 1 appearances)
cronk's winrate: 50.0% (5 wins/10 games, 1 appearances)
Little Lion Cath/steam's winrate: 50.0% (5 wins/10 games, 1 appearances)
vegeis/steam's winrate: 40.0% (4 wins/10 games, 1 appearances)
pwndnoob's winrate: 40.0% (4 wins/10 games, 1 appearances)
brskaylor's winrate: 40.0% (4 wins/10 games, 1 appearances)
Lucy/steam's winrate: 40.0% (4 wins/10 games, 1 appearances)
paragon12321's winrate: 30.0% (3 wins/10 games, 1 appearances)
flisky's winrate: 30.0% (3 wins/10 games, 1 appearances)
avagad's winrate: 30.0% (3 wins/10 games, 1 appearances)
jpgmike's winrate: 20.0% (2 wins/10 games, 1 appearances)
dejoker's winrate: 20.0% (2 wins/10 games, 1 appearances)
Kotte/steam's winrate: 20.0% (2 wins/10 games, 1 appearances)
stiphbugg's winrate: 10.0% (1 wins/10 games, 1 appearances)
leonardo21101996/steam's winrate: 10.0% (1 wins/10 games, 1 appearances)
Dofrig/steam's winrate: 0.0% (0 wins/10 games, 1 appearances)
wodar's winrate: 66.67% (6 wins/9 games, 1 appearances)
zike149's winrate: 44.44% (4 wins/9 games, 1 appearances)
sassy pants/steam's winrate: 44.44% (4 wins/9 games, 1 appearances)
UserID10T/steam's winrate: 44.44% (4 wins/9 games, 1 appearances)
Theamazingoctopus/steam's winrate: 44.44% (4 wins/9 games, 1 appearances)
Soaring Falcon/steam's winrate: 44.44% (4 wins/9 games, 1 appearances)
ПАЖЭЛАЯ СПЭРМА/steam's winrate: 33.33% (3 wins/9 games, 1 appearances)
tiarny's winrate: 33.33% (3 wins/9 games, 1 appearances)
Trakkstar/steam's winrate: 33.33% (3 wins/9 games, 1 appearances)
Slick(dq...)/steam's winrate: 33.33% (3 wins/9 games, 1 appearances)
Shifty/steam's winrate: 33.33% (3 wins/9 games, 1 appearances)
FForteech/steam's winrate: 33.33% (3 wins/9 games, 1 appearances)
DaniRaye/steam's winrate: 33.33% (3 wins/9 games, 1 appearances)
Arnold/steam's winrate: 33.33% (3 wins/9 games, 1 appearances)
r\_fahey92/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
omgitswedge/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
myst's winrate: 22.22% (2 wins/9 games, 1 appearances)
litehound/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
joshbrosnan's winrate: 22.22% (2 wins/9 games, 1 appearances)
edited/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
That Scar/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
Stardust/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
Sowa Tu Tu/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
Septium/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
Rezid/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
PashaKOPG/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
M0hr/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
Bloodhound/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
-= Scarez =-/steam's winrate: 22.22% (2 wins/9 games, 1 appearances)
Миша-тян/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
Â«BROÂ» Broactive/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
sayniey/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
hiha21445's winrate: 11.11% (1 wins/9 games, 1 appearances)
egjensen77/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
dbdkmezz's winrate: 11.11% (1 wins/9 games, 1 appearances)
Neon/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
Neepacus/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
Kai/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
I am here/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
I am Kai/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
Axiouz/steam's winrate: 11.11% (1 wins/9 games, 1 appearances)
magneticimage's winrate: 0.0% (0 wins/9 games, 1 appearances)
Trenneth/steam's winrate: 0.0% (0 wins/9 games, 1 appearances)
Maygun/steam's winrate: 0.0% (0 wins/9 games, 1 appearances)
Javensme/steam's winrate: 0.0% (0 wins/9 games, 1 appearances)
Ishmael/steam's winrate: 0.0% (0 wins/9 games, 1 appearances)
Flounder the DM/steam's winrate: 0.0% (0 wins/9 games, 1 appearances)
DoodNo/steam's winrate: 0.0% (0 wins/9 games, 1 appearances)
2kancat/steam's winrate: 0.0% (0 wins/9 games, 1 appearances)
XXXTentacion/steam's winrate: 62.5% (5 wins/8 games, 1 appearances)
JordanMG/steam's winrate: 62.5% (5 wins/8 games, 1 appearances)
FappingRaptor/steam's winrate: 62.5% (5 wins/8 games, 1 appearances)
skzitz's winrate: 50.0% (4 wins/8 games, 1 appearances)
gearsguy's winrate: 50.0% (4 wins/8 games, 1 appearances)
Nada/steam's winrate: 50.0% (4 wins/8 games, 1 appearances)
phrog/steam's winrate: 37.5% (3 wins/8 games, 1 appearances)
mary17's winrate: 37.5% (3 wins/8 games, 1 appearances)
gustbreath's winrate: 37.5% (3 wins/8 games, 1 appearances)
ciuba Buba/steam's winrate: 37.5% (3 wins/8 games, 1 appearances)
Seabass/steam's winrate: 37.5% (3 wins/8 games, 1 appearances)
Saber1999/steam's winrate: 37.5% (3 wins/8 games, 1 appearances)
Ryoko64/steam's winrate: 37.5% (3 wins/8 games, 1 appearances)
Feynman/steam's winrate: 37.5% (3 wins/8 games, 1 appearances)
Ð¯ Ñ‚Ð²Ð¾Ð¹ Ð¼Ð°Ñ‚ÑŒ ÐµÐ±Ð°Ñ‚ÑŒ/steam's winrate: 25.0% (2 wins/8 games, 1 appearances)
zzic.la4/steam's winrate: 25.0% (2 wins/8 games, 1 appearances)
regal1138/steam's winrate: 25.0% (2 wins/8 games, 1 appearances)
Valky/steam's winrate: 25.0% (2 wins/8 games, 1 appearances)
Rakfor/steam's winrate: 25.0% (2 wins/8 games, 1 appearances)
Phil\_Mcrackin/steam's winrate: 25.0% (2 wins/8 games, 1 appearances)
